"SEMEL_YISHUV","year","loc","locality","lat","long","distance","semel_map","treated","temporal_distance","number_of_red_alerts","temporal_group","turnover_percentage","post","year_election","X","SHEM_YISHUV","SHEM_YISHUV_ENGLISH","Religion_yishuv_Code","Religion_yishuv_Txt","Pop_Total","Male_Total","Female_Total","age_0_14","age_15_19","age_20_29","age_30_64","age_65_up","Shape_Area","density","age_65_up_percentage","ntl"
41,2021,"אליכין","אליכין",32.4078249,34.9220145,98.1532183800908,41,0,NA,NA,"no_red_alert",0.73822188449848,TRUE,2021,303,"אליכין","ELYAKHIN",1,"יהודי",3461,1722,1739,816,283,497,1417,448,1.68978454195198,2048.19011777796,0.129442357700087,NA
41,2022,"אליכין","אליכין",32.4078249,34.9220145,98.1532183800908,41,0,NA,NA,"no_red_alert",0.757791963950432,TRUE,2022,301,"אליכין","ELYAKHIN",1,"יהודי",3462,1736,1726,785,295,496,1424,462,1.68978454195198,2048.78190920176,0.133448873483536,NA
47,2009,"כפרתבור","כפר תבור",32.6846205,35.4221325,146.428116790743,47,1,6,2,"temporal_distance == 6",0.706422018348624,FALSE,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,2013,"כפרתבור","כפר תבור",32.6846205,35.4221325,146.428116790743,47,1,6,2,"temporal_distance == 6",0.735609368797142,FALSE,2013,345,"כפר תבור","KEFAR TAVOR",1,"יהודי",3400,1680,1720,920,300,470,1470,240,12.2738423660961,277.011867888395,0.0705882352941176,46.4444444444444
47,2015,"כפרתבור","כפר תבור",32.6846205,35.4221325,146.428116790743,47,1,6,2,"temporal_distance == 6",0.752962298025135,TRUE,2015,348,"כפר תבור","KEFAR TAVOR",1,"יהודי",3800,1870,1920,1030,320,490,1620,330,12.2738423660961,309.601499404677,0.0868421052631579,51.1111111111111
47,2019,"כפרתבור","כפר תבור",32.6846205,35.4221325,146.428116790743,47,1,6,2,"temporal_distance == 6",0.728387675740353,TRUE,2019.4,350,"כפר תבור","KEFAR TAVOR",1,"יהודי",4311,2127,2184,1143,383,513,1781,490,12.2738423660961,351.234753666727,0.113662723266064,NA
47,2019,"כפרתבור","כפר תבור",32.6846205,35.4221325,146.428116790743,47,1,6,2,"temporal_distance == 6",0.750151057401813,TRUE,2019,350,"כפר תבור","KEFAR TAVOR",1,"יהודי",4311,2127,2184,1143,383,513,1781,490,12.2738423660961,351.234753666727,0.113662723266064,NA
47,2020,"כפרתבור","כפר תבור",32.6846205,35.4221325,146.428116790743,47,1,6,2,"temporal_distance == 6",0.725461035098156,TRUE,2020,354,"כפר תבור","KEFAR TAVOR",1,"יהודי",4402,2173,2228,1156,391,530,1796,529,12.2738423660961,358.648894836681,0.120172648796002,NA
47,2021,"כפרתבור","כפר תבור",32.6846205,35.4221325,146.428116790743,47,1,6,2,"temporal_distance == 6",0.706206496519722,TRUE,2021,352,"כפר תבור","KEFAR TAVOR",1,"יהודי",4425,2190,2235,1146,394,533,1796,557,12.2738423660961,360.522798648867,0.125875706214689,NA
47,2022,"כפרתבור","כפר תבור",32.6846205,35.4221325,146.428116790743,47,1,6,2,"temporal_distance == 6",0.698781524511193,TRUE,2022,356,"כפר תבור","KEFAR TAVOR",1,"יהודי",4410,2196,2214,1101,391,552,1749,616,12.2738423660961,359.300687467006,0.13968253968254,NA
53,2009,"עתלית","עתלית",32.6958085,34.9465515,126.367744641123,53,1,232,1,"temporal_distance > 200",0.644028103044497,FALSE,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,2013,"עתלית","עתלית",32.6958085,34.9465515,126.367744641123,53,1,232,1,"temporal_distance > 200",0.667347401860676,FALSE,2013,401,"עתלית","ATLIT",1,"יהודי",6270,3080,3190,1630,370,760,2820,690,9.46151869533657,662.684311250199,0.110047846889952,55.8333333333333
