"area","data","date","time","alertDate","category","category_desc","matrix_id","rid","year","locality","alarm","loc"
3,"גולן 3",2014-09-12,"21:52:11","2014-09-12T21:52:00",1,"ירי רקטות וטילים",1,1879,2014,"אורטל",1,"אורטל"
3,"גולן 3",2014-09-12,"21:52:11","2014-09-12T21:52:00",1,"ירי רקטות וטילים",1,1879,2014,"עין זיוון",1,"עיןזיוון"
3,"גולן 3",2014-09-12,"21:52:11","2014-09-12T21:52:00",1,"ירי רקטות וטילים",1,1879,2014,"קשת",1,"קשת"
3,"גולן 3",2014-09-12,"21:52:11","2014-09-12T21:52:00",1,"ירי רקטות וטילים",1,1879,2014,"יונתן",1,"יונתן"
3,"גולן 3",2014-09-12,"21:52:11","2014-09-12T21:52:00",1,"ירי רקטות וטילים",1,1879,2014,"אלוני הבשן",1,"אלוניהבשן"
3,"גולן 3",2014-08-24,"01:35:15","2014-08-24T01:35:00",1,"ירי רקטות וטילים",1,1421,2014,"מרום גולן",1,"מרוםגולן"
3,"גולן 3",2014-08-24,"01:35:15","2014-08-24T01:35:00",1,"ירי רקטות וטילים",1,1421,2014,"אורטל",1,"אורטל"
3,"גולן 3",2014-08-24,"01:35:15","2014-08-24T01:35:00",1,"ירי רקטות וטילים",1,1421,2014,"עין זיוון",1,"עיןזיוון"
3,"גולן 3",2014-08-24,"01:35:15","2014-08-24T01:35:00",1,"ירי רקטות וטילים",1,1421,2014,"קשת",1,"קשת"
3,"גולן 3",2014-08-24,"01:35:15","2014-08-24T01:35:00",1,"ירי רקטות וטילים",1,1421,2014,"יונתן",1,"יונתן"
3,"גולן 3",2014-08-24,"01:35:15","2014-08-24T01:35:00",1,"ירי רקטות וטילים",1,1421,2014,"אלוני הבשן",1,"אלוניהבשן"
25," פזורה 25",2014-07-29,"21:26:57","2014-07-29T21:27:00",1,"ירי רקטות וטילים",1,154,2014,"כפר בלום",1,"כפרבלום"
25," פזורה 25",2014-07-29,"21:26:57","2014-07-29T21:27:00",1,"ירי רקטות וטילים",1,154,2014,"שדה נחמיה",1,"שדהנחמיה"
25," פזורה 25",2014-07-29,"21:26:57","2014-07-29T21:27:00",1,"ירי רקטות וטילים",1,154,2014,"עמיר",1,"עמיר"
25," פזורה 25",2014-07-29,"21:26:57","2014-07-29T21:27:00",1,"ירי רקטות וטילים",1,154,2014,"שמיר",1,"שמיר"
25," פזורה 25",2014-07-29,"21:26:57","2014-07-29T21:27:00",1,"ירי רקטות וטילים",1,154,2014,"כפר סאלד",1,"כפרסאלד"
25," פזורה 25",2014-07-29,"21:26:57","2014-07-29T21:27:00",1,"ירי רקטות וטילים",1,154,2014,"נאות מרדכי",1,"נאותמרדכי"
25," פזורה 25",2014-07-29,"21:26:57","2014-07-29T21:27:00",1,"ירי רקטות וטילים",1,154,2014,"להבות הבשן",1,"להבותהבשן"
25," פזורה 25",2014-07-29,"21:26:57","2014-07-29T21:27:00",1,"ירי רקטות וטילים",1,154,2014,"גונן",1,"גונן"
25," פזורה 25",2014-07-29,"21:26:43","2014-07-29T21:27:00",1,"ירי רקטות וטילים",1,150,2014,"כפר בלום",1,"כפרבלום"
25," פזורה 25",2014-07-29,"21:26:43","2014-07-29T21:27:00",1,"ירי רקטות וטילים",1,150,2014,"שדה נחמיה",1,"שדהנחמיה"
25," פזורה 25",2014-07-29,"21:26:43","2014-07-29T21:27:00",1,"ירי רקטות וטילים",1,150,2014,"עמיר",1,"עמיר"
25," פזורה 25",2014-07-29,"21:26:43","2014-07-29T21:27:00",1,"ירי רקטות וטילים",1,150,2014,"שמיר",1,"שמיר"
25," פזורה 25",2014-07-29,"21:26:43","2014-07-29T21:27:00",1,"ירי רקטות וטילים",1,150,2014,"כפר סאלד",1,"כפרסאלד"
25," פזורה 25",2014-07-29,"21:26:43","2014-07-29T21:27:00",1,"ירי רקטות וטילים",1,150,2014,"נאות מרדכי",1,"נאותמרדכי"
25," פזורה 25",2014-07-29,"21:26:43","2014-07-29T21:27:00",1,"ירי רקטות וטילים",1,150,2014,"להבות הבשן",1,"להבותהבשן"
25," פזורה 25",2014-07-29,"21:26:43","2014-07-29T21:27:00",1,"ירי רקטות וטילים",1,150,2014,"גונן",1,"גונן"
25," פזורה 25",2014-08-21,"19:42:00","2014-08-21T19:42:00",1,"ירי רקטות וטילים",1,1172,2014,"כפר בלום",1,"כפרבלום"
25," פזורה 25",2014-08-21,"19:42:00","2014-08-21T19:42:00",1,"ירי רקטות וטילים",1,1172,2014,"שדה נחמיה",1,"שדהנחמיה"
25," פזורה 25",2014-08-21,"19:42:00","2014-08-21T19:42:00",1,"ירי רקטות וטילים",1,1172,2014,"עמיר",1,"עמיר"
25," פזורה 25",2014-08-21,"19:42:00","2014-08-21T19:42:00",1,"ירי רקטות וטילים",1,1172,2014,"שמיר",1,"שמיר"
25," פזורה 25",2014-08-21,"19:42:00","2014-08-21T19:42:00",1,"ירי רקטות וטילים",1,1172,2014,"כפר סאלד",1,"כפרסאלד"
25," פזורה 25",2014-08-21,"19:42:00","2014-08-21T19:42:00",1,"ירי רקטות וטילים",1,1172,2014,"נאות מרדכי",1,"נאותמרדכי"
25," פזורה 25",2014-08-21,"19:42:00","2014-08-21T19:42:00",1,"ירי רקטות וטילים",1,1172,2014,"להבות הבשן",1,"להבותהבשן"
25," פזורה 25",2014-08-21,"19:42:00","2014-08-21T19:42:00",1,"ירי רקטות וטילים",1,1172,2014,"גונן",1,"גונן"
25," פזורה 25",2014-08-21,"19:41:31","2014-08-21T19:42:00",1,"ירי רקטות וטילים",1,1169,2014,"כפר בלום",1,"כפרבלום"
25," פזורה 25",2014-08-21,"19:41:31","2014-08-21T19:42:00",1,"ירי רקטות וטילים",1,1169,2014,"שדה נחמיה",1,"שדהנחמיה"
25," פזורה 25",2014-08-21,"19:41:31","2014-08-21T19:42:00",1,"ירי רקטות וטילים",1,1169,2014,"עמיר",1,"עמיר"
25," פזורה 25",2014-08-21,"19:41:31","2014-08-21T19:42:00",1,"ירי רקטות וטילים",1,1169,2014,"שמיר",1,"שמיר"
25," פזורה 25",2014-08-21,"19:41:31","2014-08-21T19:42:00",1,"ירי רקטות וטילים",1,1169,2014,"כפר סאלד",1,"כפרסאלד"
25," פזורה 25",2014-08-21,"19:41:31","2014-08-21T19:42:00",1,"ירי רקטות וטילים",1,1169,2014,"נאות מרדכי",1,"נאותמרדכי"
25," פזורה 25",2014-08-21,"19:41:31","2014-08-21T19:42:00",1,"ירי רקטות וטילים",1,1169,2014,"להבות הבשן",1,"להבותהבשן"
25," פזורה 25",2014-08-21,"19:41:31","2014-08-21T19:42:00",1,"ירי רקטות וטילים",1,1169,2014,"גונן",1,"גונן"
25," פזורה 25",2014-07-29,"21:27:40","2014-07-29T21:28:00",1,"ירי רקטות וטילים",1,159,2014,"כפר בלום",1,"כפרבלום"
