"District","year","month","מקלט","חירום","בתי חולים","אזעקה","מרחב מוגן","פיקוד העורף","צבע אדום","התקף חרדה","מד""א","שלום","מלחמה","בחירות","טרור","הפסקת אש","נתניהו","חמאס","ליכוד","ממשלה","סיפוח","ריבונות","התנחלויות","מדינה פלסטינית","alert"
"South District",2018,9,21,39,57,5,0,0,3,0,0,61,14,9,31,0,31,4,0,23,0,0,NA,NA,0.000125896107645181
"South District",2018,10,12,23,52,24,0,4,9,0,6,66,16,91,47,0,48,8,0,24,0,0,NA,NA,0.344572835308646
"South District",2018,11,19,31,77,21,0,26,14,0,0,71,22,25,0,21,37,20,0,18,0,0,NA,NA,0.534565297579908
"South District",2018,12,98,26,48,3,0,1,3,0,0,70,20,6,26,0,44,6,0,23,0,0,NA,NA,0
"South District",2019,1,97,27,47,9,0,3,4,26,0,71,17,11,30,0,49,7,35,37,0,0,NA,NA,0.161687525232136
"South District",2019,2,100,29,0,5,0,2,4,0,0,64,14,18,35,0,55,5,86,31,0,0,NA,NA,0.00429947737079968
"South District",2019,3,33,28,61,20,0,20,15,22,0,71,21,31,31,16,90,9,44,27,0,0,NA,NA,0.187451401139511
"South District",2019,4,22,27,0,4,0,1,2,0,0,59,14,100,34,0,100,7,93,68,0,0,NA,NA,0.000576510118773651
"South District",2019,5,26,48,60,34,0,43,27,0,0,64,35,8,38,42,51,16,37,39,0,0,NA,NA,0.885818793601523
"South District",2019,6,13,29,0,8,0,5,5,0,0,71,18,9,0,0,47,5,0,22,0,0,NA,NA,0.199811024067334
"South District",2019,7,12,38,58,6,0,2,4,25,0,69,14,9,31,0,41,7,0,25,0,0,NA,NA,0.0236235624555247
"South District",2019,8,18,30,0,5,0,2,7,0,0,68,16,16,24,0,52,9,16,24,0,0,NA,NA,0.0262406356377506
"South District",2019,9,14,33,42,8,0,3,7,20,0,65,18,97,28,0,100,7,60,69,0,100,NA,NA,0.31782830052043
"South District",2019,10,21,34,44,5,0,1,4,27,0,68,14,5,27,0,60,4,0,30,0,0,NA,NA,0.001881119529241
"South District",2019,11,33,43,36,34,0,50,35,0,0,76,25,6,19,38,72,14,13,38,0,0,NA,NA,0.58898048819568
"South District",2019,12,21,27,84,8,0,3,7,0,0,59,18,10,18,0,50,6,46,26,0,0,NA,NA,0.144990723999315
"South District",2020,1,16,30,73,4,0,2,5,0,0,69,15,11,37,0,46,7,0,27,28,88,NA,NA,0.0279628096787234
"South District",2020,2,24,29,64,9,0,10,12,23,0,67,13,26,24,0,52,6,32,28,0,0,NA,NA,0.183202756549693
"South District",2020,3,27,100,55,4,0,3,3,21,9,72,18,58,33,0,79,3,40,69,0,0,NA,NA,0.0238218252516892
"South District",2020,4,22,42,32,5,0,4,2,0,0,80,24,3,0,0,53,3,0,40,14,0,NA,NA,0
"South District",2020,5,16,38,55,5,0,2,2,21,0,65,16,2,27,0,60,2,0,47,16,62,NA,NA,0.00172091859323567
"South District",2020,6,28,39,56,6,0,1,3,0,4,59,16,2,25,0,37,5,0,21,100,76,NA,NA,0.000481241217347783
"South District",2020,7,14,33,37,5,0,2,2,0,5,66,18,2,0,0,60,5,12,38,39,0,NA,NA,0.00258946274230495
"South District",2020,8,17,31,31,7,0,2,6,22,0,83,12,3,28,0,54,10,13,30,27,0,NA,NA,0.138906234961212
"South District",2020,9,18,44,67,7,0,9,5,19,5,100,20,3,17,0,46,5,0,24,0,0,NA,NA,0.313863211996381
"South District",2020,10,16,32,61,6,0,4,4,22,0,90,24,4,36,0,51,4,16,33,0,0,NA,NA,0.116678280621379
"South District",2020,11,21,30,37,9,0,5,5,19,0,66,28,30,0,0,39,4,0,19,0,0,NA,NA,0.286948353192554
"South District",2020,12,15,31,68,6,0,15,5,16,5,67,21,5,16,0,45,3,13,29,0,0,NA,NA,0.115179117981097
"South District",2021,1,17,30,68,6,46,15,3,36,0,83,21,10,0,0,46,3,0,23,0,0,NA,NA,0
"South District",2021,2,18,27,54,5,0,18,3,43,0,76,18,17,0,0,53,3,20,30,0,0,NA,NA,0
"South District",2021,3,14,30,0,5,0,14,4,21,0,92,16,78,0,0,81,3,37,45,0,0,NA,NA,0.113359966034241
"South District",2021,4,20,32,75,9,0,7,8,0,4,74,23,6,33,0,56,4,0,58,0,0,NA,NA,0.14439149465961
"South District",2021,5,53,55,0,64,100,77,79,25,0,82,54,4,55,100,48,47,0,53,0,0,NA,NA,0.899441408309826
"South District",2021,6,21,30,44,8,0,4,3,0,0,66,25,4,24,0,75,16,15,100,0,0,NA,NA,0.000577931624267387
"South District",2021,7,25,32,55,5,0,8,2,18,5,66,11,2,0,0,43,8,0,30,0,0,NA,NA,0
"South District",2021,8,15,41,53,12,0,28,5,37,23,74,13,2,20,0,35,10,12,25,0,0,NA,NA,0.0246010005394029
"South District",2021,9,0,36,48,6,0,27,4,0,24,66,13,1,0,0,27,10,0,15,0,0,NA,NA,0.0264171412253359
"South District",2021,10,19,28,0,6,0,11,3,0,17,77,13,2,0,0,36,7,0,28,0,0,NA,NA,0.140906529191968
"South District",2021,11,16,30,41,11,0,10,2,0,15,64,19,2,30,0,36,4,0,23,0,0,NA,NA,0.130023283467529
"South District",2021,12,14,27,66,6,0,13,2,35,17,60,11,1,19,0,36,6,0,21,0,0,NA,NA,0
"South District",2022,1,18,27,56,3,0,20,2,32,100,71,23,2,0,0,49,6,0,26,0,0,NA,NA,0
"South District",2022,2,18,28,71,6,0,5,3,28,17,84,59,2,15,0,33,4,0,26,0,0,NA,NA,0
"South District",2022,3,18,29,44,2,0,3,2,24,10,80,42,1,37,0,33,4,0,23,0,0,NA,NA,0
"South District",2022,4,24,29,26,10,0,4,9,27,5,67,35,2,35,0,36,9,10,30,0,0,NA,NA,0.027922614888085
"South District",2022,5,16,31,58,8,0,3,5,19,5,74,31,4,50,0,37,14,11,31,0,0,NA,NA,0
"South District",2022,6,22,36,61,8,0,3,5,25,9,64,19,3,29,0,32,5,13,32,0,0,NA,NA,0.114998906511521
"South District",2022,7,12,30,54,8,0,2,5,20,6,75,19,4,0,0,39,3,28,26,0,0,NA,NA,0.113884800068334
"South District",2022,8,18,32,52,20,0,21,28,34,3,92,24,8,36,50,26,12,70,21,0,0,NA,NA,0.540960900239242
"South District",2022,9,21,34,46,4,0,2,2,24,4,73,21,12,23,0,27,3,19,23,0,0,NA,NA,0
"South District",2022,10,14,31,61,3,0,1,3,28,0,86,21,33,28,0,48,2,35,34,0,0,NA,NA,0
"South District",2022,11,15,31,60,3,46,2,3,29,0,75,16,52,24,0,58,2,50,68,11,0,NA,NA,0.000782746298154913
"South District",2022,12,25,33,41,4,0,2,3,19,0,65,18,3,18,0,35,1,13,43,0,0,NA,NA,0
"Tel Aviv District",2014,1,19,19,56,6,0,1,3,30,10,66,24,2,19,0,16,1,3,23,4,21,62,0,0
"Tel Aviv District",2014,2,16,21,69,11,0,2,3,38,9,67,43,1,22,0,12,1,0,18,2,18,30,0,0
"Tel Aviv District",2014,3,15,18,60,8,0,1,5,38,9,82,47,2,22,0,16,2,3,19,3,26,35,0,0
"Tel Aviv District",2014,4,16,18,57,7,0,1,2,40,8,64,47,1,27,0,11,2,3,19,2,24,0,0,0
"Tel Aviv District",2014,5,22,19,53,5,0,1,2,34,9,68,42,2,27,0,18,2,3,20,3,41,27,0,0
"Tel Aviv District",2014,6,22,19,57,6,0,1,3,41,9,66,33,1,31,0,10,6,2,17,3,0,36,0,0
"Tel Aviv District",2014,7,47,29,57,100,80,100,100,47,10,78,100,1,96,61,20,100,5,22,2,0,55,0,0.876341560365699
"Tel Aviv District",2014,8,23,20,58,27,18,20,34,34,8,66,61,1,69,34,16,43,3,18,2,0,36,0,0.975116539587323
"Tel Aviv District",2014,9,19,21,46,10,0,3,4,31,11,70,31,1,50,11,10,8,3,18,3,42,0,0,0
"Tel Aviv District",2014,10,15,20,56,7,0,2,3,29,11,71,31,2,33,1,10,4,3,17,0,0,36,58,0
"Tel Aviv District",2014,11,17,21,65,6,0,2,2,39,12,68,28,2,41,0,12,8,7,26,4,43,25,0,0
"Tel Aviv District",2014,12,17,18,60,7,0,1,2,39,10,75,28,11,28,0,23,5,26,30,2,33,22,0,0
"Tel Aviv District",2015,1,17,22,45,6,3,1,2,23,11,74,32,18,51,1,26,4,29,23,3,0,25,70,0
"Tel Aviv District",2015,2,15,20,64,6,0,1,2,39,14,68,28,24,30,0,48,3,25,25,4,26,60,0,0
"Tel Aviv District",2015,3,15,16,48,6,0,1,2,39,10,72,28,71,26,0,68,4,50,59,6,0,51,100,0.308496843785178
"Tel Aviv District",2015,4,16,21,52,9,0,1,2,33,10,68,35,3,28,0,18,3,8,24,5,23,0,0,0
"Tel Aviv District",2015,5,18,21,58,7,0,5,3,40,9,73,31,2,20,0,20,4,8,33,2,0,24,0,0
"Tel Aviv District",2015,6,20,20,44,13,3,4,5,29,12,70,27,3,26,0,11,5,7,20,5,0,31,0,0
"Tel Aviv District",2015,7,16,19,56,10,0,2,3,40,10,68,29,1,24,0,11,5,4,14,2,0,24,0,0
"Tel Aviv District",2015,8,19,19,52,7,0,1,2,38,12,68,27,1,29,0,9,4,5,14,2,19,0,0,0
"Tel Aviv District",2015,9,14,24,60,7,0,2,3,47,10,73,30,1,24,0,12,4,4,13,0,27,0,0,0
"Tel Aviv District",2015,10,13,24,54,6,0,2,4,43,15,75,28,2,89,0,24,10,5,21,3,48,37,52,0
"Tel Aviv District",2015,11,18,21,57,5,0,1,2,40,11,65,26,2,100,0,14,4,4,19,3,40,43,0,0
"Tel Aviv District",2015,12,17,19,56,6,0,1,3,34,12,86,25,2,53,0,20,3,10,18,3,27,48,0,0
"Tel Aviv District",2016,1,16,19,42,4,0,1,1,29,10,73,28,3,47,0,14,3,7,19,0,24,68,0,0
"Tel Aviv District",2016,2,16,21,69,8,0,1,2,38,10,74,33,2,34,3,14,3,4,16,3,43,0,0,0
"Tel Aviv District",2016,3,18,18,50,6,4,1,2,25,9,73,28,2,41,0,14,5,7,19,0,0,0,0,0
"Tel Aviv District",2016,4,17,20,49,4,0,1,2,33,9,66,26,1,28,0,10,3,3,15,5,35,0,0,0
"Tel Aviv District",2016,5,16,19,69,6,0,1,1,36,10,75,35,2,31,0,22,4,5,24,3,22,60,0,0
"Tel Aviv District",2016,6,12,20,58,5,0,1,1,49,8,71,29,2,41,0,17,3,6,16,0,0,0,0,0.416218760758524
"Tel Aviv District",2016,7,13,20,49,5,0,1,2,33,10,70,21,1,34,0,22,3,4,18,0,0,0,0,0
"Tel Aviv District",2016,8,16,20,68,6,0,1,1,25,10,66,48,1,22,0,13,3,5,16,0,0,0,0,0
"Tel Aviv District",2016,9,14,22,57,9,0,4,1,34,9,80,47,2,23,0,21,2,5,20,3,34,0,0,0.974741619768283
"Tel Aviv District",2016,10,10,26,44,5,0,0,2,39,9,74,41,3,24,0,14,3,4,15,0,30,0,0,0
"Tel Aviv District",2016,11,14,21,54,5,0,1,1,32,8,71,24,8,30,0,26,3,7,22,0,0,0,0,0
"Tel Aviv District",2016,12,15,21,66,6,0,1,2,39,9,64,26,1,27,0,25,3,5,21,4,37,100,0,0.0983987802907348
"Tel Aviv District",2017,1,13,21,64,4,0,1,2,33,12,68,26,2,33,0,35,3,9,22,5,50,60,0,0
"Tel Aviv District",2017,2,14,20,46,5,0,1,2,37,10,67,24,1,24,0,25,5,6,18,5,0,0,0,0
"Tel Aviv District",2017,3,14,18,43,5,0,1,2,39,10,64,21,2,30,0,19,5,5,18,0,75,45,0,0
"Tel Aviv District",2017,4,13,21,48,6,0,1,2,30,9,61,31,2,25,0,16,2,6,17,0,0,0,0,0
"Tel Aviv District",2017,5,8,23,58,4,0,1,2,31,10,68,26,5,34,0,20,3,5,18,0,0,0,0,0
"Tel Aviv District",2017,6,15,22,62,5,0,1,1,46,11,69,22,2,30,0,16,3,4,17,0,0,0,0,0
"Tel Aviv District",2017,7,15,23,59,7,0,1,1,55,11,67,26,2,28,0,19,3,8,15,0,0,0,0,0.335154734753795
"Tel Aviv District",2017,8,15,25,63,4,0,1,2,53,9,70,20,1,35,0,37,2,9,19,0,0,0,0,0
"Tel Aviv District",2017,9,13,23,56,4,0,1,1,51,12,73,24,1,25,0,35,2,6,18,0,0,0,0,0
"Tel Aviv District",2017,10,14,25,62,5,0,1,2,75,12,69,24,2,31,0,21,3,5,21,0,0,0,0,0
"Tel Aviv District",2017,11,16,24,47,13,0,1,3,43,11,72,21,2,30,0,26,3,6,20,0,0,0,0,0.53942652205479
"Tel Aviv District",2017,12,13,23,45,6,0,2,4,47,12,69,20,2,29,0,23,4,12,20,0,0,0,0,0
"Tel Aviv District",2018,1,31,25,63,6,0,1,2,51,15,69,22,2,30,0,95,3,7,25,5,58,0,0,0
"Tel Aviv District",2018,2,21,23,58,6,0,2,3,55,9,70,24,2,29,0,58,3,11,31,7,0,96,0,0
"Tel Aviv District",2018,3,25,25,52,12,0,4,2,60,8,70,21,4,29,0,40,3,7,22,0,0,0,0,0
"Tel Aviv District",2018,4,21,26,63,7,0,1,2,80,5,75,30,2,37,0,29,3,6,28,0,0,0,0,0
"Tel Aviv District",2018,5,23,28,81,7,0,3,5,46,6,71,37,3,37,0,28,6,4,22,0,0,0,0,0
"Tel Aviv District",2018,6,11,27,66,7,0,2,2,44,8,77,19,3,43,0,27,5,4,20,0,0,0,0,0
"Tel Aviv District",2018,7,18,26,64,7,0,3,5,57,7,70,24,3,45,0,21,6,8,22,0,0,0,0,0.0273226172148069
"Tel Aviv District",2018,8,14,27,78,5,0,3,4,42,8,71,19,9,33,0,22,7,6,23,0,0,0,0,0
"Tel Aviv District",2018,9,18,37,55,4,0,1,2,62,9,74,21,9,20,0,26,4,4,21,0,0,0,0,0
"Tel Aviv District",2018,10,16,26,52,6,0,2,3,79,8,75,20,96,34,0,44,5,12,24,0,0,0,0,0.308545219601162
"Tel Aviv District",2018,11,18,30,48,9,0,8,7,37,4,77,24,27,28,9,32,15,9,28,0,0,0,0,0
"Tel Aviv District",2018,12,91,23,75,10,0,2,4,38,8,71,21,6,40,0,44,4,10,18,0,0,0,0,0.974617381541517
"Tel Aviv District",2019,1,95,28,65,5,0,2,3,71,8,77,26,12,29,0,50,4,32,29,0,0,0,0,0
"Tel Aviv District",2019,2,81,21,57,5,0,1,2,50,5,69,18,22,30,0,60,3,100,33,0,0,0,0,0
"Tel Aviv District",2019,3,38,23,74,39,8,9,13,52,8,77,24,34,46,6,93,9,34,41,5,44,86,0,0.824522966773905
"Tel Aviv District",2019,4,17,26,45,4,0,1,2,45,6,68,17,100,36,0,85,4,68,67,6,0,93,0,0
"Tel Aviv District",2019,5,17,25,63,21,8,16,14,56,7,77,37,9,32,17,46,9,15,42,0,0,0,0,0
"Tel Aviv District",2019,6,20,27,52,4,0,3,4,61,4,76,24,12,34,0,40,3,11,25,0,0,0,0,0
"Tel Aviv District",2019,7,14,31,55,4,0,2,4,78,5,80,14,13,35,0,38,4,7,20,0,0,0,0,0.109799246418473
"Tel Aviv District",2019,8,15,28,59,4,0,2,5,55,5,73,17,18,24,0,53,4,11,18,0,0,0,0,0
"Tel Aviv District",2019,9,16,29,65,5,0,2,4,65,5,74,23,99,23,0,100,3,49,71,9,100,0,0,0
"Tel Aviv District",2019,10,16,31,48,4,0,1,4,40,9,69,21,5,18,0,63,2,13,40,0,0,0,0,0
"Tel Aviv District",2019,11,31,33,65,21,21,36,20,70,6,78,30,6,29,14,72,7,16,46,0,0,0,0,0.527846919517224
"Tel Aviv District",2019,12,16,29,45,4,0,2,3,53,6,76,19,11,24,0,52,3,36,29,0,96,0,0,0
"Tel Aviv District",2020,1,16,24,60,4,0,1,3,73,4,74,22,12,29,0,45,3,11,21,22,87,60,0,0
"Tel Aviv District",2020,2,16,29,70,4,0,2,5,44,5,77,18,30,31,0,53,5,23,28,6,68,0,0,0
"Tel Aviv District",2020,3,15,100,94,3,0,3,2,60,12,71,25,67,35,0,89,2,28,80,0,0,0,0,0
"Tel Aviv District",2020,4,14,59,80,5,0,5,2,90,0,77,34,4,21,0,66,3,9,57,8,0,76,0,0
"Tel Aviv District",2020,5,16,42,67,4,0,2,2,60,4,70,26,3,27,0,72,2,14,49,19,59,0,0,0
"Tel Aviv District",2020,6,18,38,80,5,0,1,2,66,4,74,22,2,20,0,37,3,8,30,100,96,0,0,0
"Tel Aviv District",2020,7,17,32,61,5,0,3,2,53,8,77,19,3,18,0,67,3,13,43,32,57,0,0,0
"Tel Aviv District",2020,8,17,27,59,5,0,2,2,53,6,93,15,5,31,0,62,4,12,33,14,56,0,0,0
"Tel Aviv District",2020,9,14,42,90,4,0,9,3,78,5,93,28,2,20,0,56,3,12,35,6,0,0,0,0
"Tel Aviv District",2020,10,15,31,98,4,0,6,2,70,9,84,34,6,25,0,63,2,18,41,0,61,0,0,0
"Tel Aviv District",2020,11,17,26,49,5,0,5,2,62,7,74,29,26,17,0,43,2,11,29,0,46,0,0,0
"Tel Aviv District",2020,12,16,30,74,4,0,20,3,42,13,74,27,7,29,0,41,3,17,32,0,0,0,0,0
"Tel Aviv District",2021,1,17,30,100,5,0,20,2,74,10,73,30,12,21,0,46,2,14,33,0,0,0,0,0
"Tel Aviv District",2021,2,15,28,65,4,0,17,5,66,4,73,21,21,22,0,52,2,15,34,0,0,0,0,0
"Tel Aviv District",2021,3,19,26,46,4,0,13,2,78,5,100,19,82,26,0,82,2,33,57,5,0,0,0,0
"Tel Aviv District",2021,4,15,26,74,7,0,8,3,51,5,79,25,7,29,0,58,2,13,63,0,0,0,0,0
"Tel Aviv District",2021,5,100,40,71,52,100,73,63,79,6,93,64,5,70,100,52,53,11,58,0,0,0,0,0.974615653515751
"Tel Aviv District",2021,6,23,28,45,4,0,5,2,50,0,78,32,4,32,0,78,10,16,100,0,0,0,0,0
"Tel Aviv District",2021,7,18,30,79,5,0,13,3,68,4,80,16,2,21,0,40,6,8,27,0,0,0,0,0
"Tel Aviv District",2021,8,16,32,83,6,0,35,3,82,37,83,16,1,29,0,33,4,4,26,0,0,0,0,0
"Tel Aviv District",2021,9,19,33,71,5,0,33,3,69,39,79,18,1,23,0,27,6,4,16,0,0,92,0,0
"Tel Aviv District",2021,10,17,27,79,4,0,14,2,54,30,86,21,2,31,0,34,5,6,26,0,0,75,0,0
"Tel Aviv District",2021,11,13,30,68,10,0,13,2,54,36,73,20,1,36,0,34,4,4,25,0,56,0,0,0.179739790534211
"Tel Aviv District",2021,12,15,29,54,5,0,19,2,69,42,72,18,1,29,0,30,6,5,23,0,0,0,0,0
"Tel Aviv District",2022,1,17,32,66,5,0,30,2,54,100,84,27,2,34,0,52,3,11,27,0,57,0,0,0
"Tel Aviv District",2022,2,15,30,58,5,0,8,4,59,26,94,77,2,35,0,31,4,8,35,9,0,0,0,0
"Tel Aviv District",2022,3,20,29,67,3,0,6,2,49,17,89,55,2,62,0,26,3,6,27,5,0,0,0,0
"Tel Aviv District",2022,4,13,33,60,5,0,4,4,59,9,82,41,3,56,0,26,7,6,33,0,0,0,0,0
"Tel Aviv District",2022,5,18,32,81,15,0,5,4,51,7,81,35,4,51,0,32,12,7,29,0,0,0,0,0
"Tel Aviv District",2022,6,23,30,64,5,0,4,3,61,14,81,25,5,35,0,36,4,13,41,0,0,0,0,0
"Tel Aviv District",2022,7,21,30,74,4,0,4,2,84,10,82,22,6,22,0,42,3,33,34,0,0,0,0,0
"Tel Aviv District",2022,8,37,31,63,17,29,19,25,100,0,100,31,10,37,38,26,8,63,25,0,0,0,0,0.52683743988927
"Tel Aviv District",2022,9,13,36,64,4,0,1,2,68,0,84,26,13,27,0,30,2,18,24,6,0,0,0,0
"Tel Aviv District",2022,10,19,31,57,3,0,2,1,77,5,80,28,36,46,0,52,2,34,39,0,50,0,0,0
"Tel Aviv District",2022,11,18,29,58,3,0,2,2,73,5,76,22,46,43,0,49,2,37,54,0,55,0,0,0
"Tel Aviv District",2022,12,19,27,53,4,0,1,1,64,4,69,22,3,30,0,36,3,14,47,0,0,0,0,0
