"District","year","month","שלום","מלחמה","בחירות","אזעקה","טרור","הפסקת אש","נתניהו","חמאס","ליכוד","ממשלה","alert"
"Tel Aviv District",2018,12,72,21,6,9,38,0,44,5,11,19,0.975638972996502
"Tel Aviv District",2019,1,76,25,11,5,30,0,50,4,33,30,0
"Tel Aviv District",2019,2,68,18,21,5,29,0,60,3,100,33,0
"Tel Aviv District",2019,3,76,24,34,41,40,7,92,9,34,40,0.82517848867277
"Tel Aviv District",2019,4,67,18,99,5,38,0,85,5,66,67,0
"Tel Aviv District",2019,5,76,37,9,22,34,17,47,9,16,42,0
"Tel Aviv District",2019,6,75,22,11,5,30,0,39,4,7,24,0
"Tel Aviv District",2019,7,79,14,12,4,32,0,38,4,7,21,0.109799246418473
"Tel Aviv District",2019,8,72,17,18,5,20,0,53,4,11,17,0
"Tel Aviv District",2019,9,74,24,100,5,29,0,98,3,49,71,0
"Tel Aviv District",2019,10,68,22,5,3,16,0,64,2,13,39,0
"Tel Aviv District",2019,11,78,31,6,23,33,13,71,7,16,45,0.53077258897568
"Tel Aviv District",2019,12,73,18,11,5,21,0,50,3,35,29,0
"Tel Aviv District",2020,1,73,22,12,3,30,0,45,3,13,21,0
"Tel Aviv District",2020,2,75,19,28,4,33,0,52,5,24,29,0
"Tel Aviv District",2020,3,69,25,66,2,28,0,88,2,28,81,0
"Tel Aviv District",2020,4,76,33,3,5,22,0,65,3,9,58,0
"Tel Aviv District",2020,5,69,25,2,4,31,0,72,2,13,49,0
"Tel Aviv District",2020,6,73,22,2,5,25,0,37,3,9,31,0
"Tel Aviv District",2020,7,76,18,3,5,21,0,67,3,13,45,0
"Tel Aviv District",2020,8,93,14,4,5,35,0,62,5,11,32,0
"Tel Aviv District",2020,9,92,27,2,5,18,0,55,3,11,35,0
"Tel Aviv District",2020,10,85,34,6,4,25,0,62,2,18,40,0
"Tel Aviv District",2020,11,74,29,26,5,24,0,43,2,12,27,0
"Tel Aviv District",2020,12,72,26,7,4,25,0,43,3,17,31,0
"Tel Aviv District",2021,1,73,30,12,5,19,0,46,2,11,33,0
"Tel Aviv District",2021,2,72,21,21,4,28,0,52,1,15,35,0
"Tel Aviv District",2021,3,100,19,83,4,24,0,81,2,32,56,0
"Tel Aviv District",2021,4,79,27,7,7,29,0,58,3,13,62,0
"Tel Aviv District",2021,5,92,64,5,54,62,100,51,54,11,58,0.978013267878292
"Tel Aviv District",2021,6,77,33,3,5,30,0,77,11,15,100,0
"Tel Aviv District",2021,7,79,17,2,5,24,0,40,6,8,26,0
"Tel Aviv District",2021,8,82,17,1,6,27,0,33,5,5,25,0
"Tel Aviv District",2021,9,76,17,1,6,31,0,26,6,6,16,0
"Tel Aviv District",2021,10,85,19,2,4,24,0,33,5,6,26,0
"Tel Aviv District",2021,11,72,20,1,11,34,0,33,5,4,26,0.179739790534211
"Tel Aviv District",2021,12,71,19,1,5,30,0,29,6,5,25,0
"Tel Aviv District",2022,1,83,27,2,3,19,0,52,4,12,26,0
"Tel Aviv District",2022,2,91,78,2,5,32,0,31,4,7,34,0
"Tel Aviv District",2022,3,88,56,2,3,65,0,26,3,6,26,0
"Tel Aviv District",2022,4,80,41,3,6,56,0,26,8,7,32,0
"Tel Aviv District",2022,5,80,35,4,16,52,0,33,13,10,29,0
"Tel Aviv District",2022,6,80,25,5,5,31,0,36,4,16,40,0
"Tel Aviv District",2022,7,81,22,6,5,22,0,42,3,34,33,0
"Tel Aviv District",2022,8,98,30,10,17,34,39,25,8,64,27,0.530390238696596
"Tel Aviv District",2022,9,82,27,13,5,27,0,29,2,18,24,0
"Tel Aviv District",2022,10,80,28,37,4,49,0,53,2,36,40,0
"Tel Aviv District",2022,11,75,23,45,3,45,0,50,4,39,53,0
"Tel Aviv District",2022,12,67,20,3,4,31,0,35,3,14,46,0
