date,value,district,keyword
2021-04-01,27,Center District,חירום
2021-05-01,40,Center District,חירום
2021-06-01,25,Center District,חירום
2021-07-01,25,Center District,חירום
2021-08-01,27,Center District,חירום
2021-09-01,29,Center District,חירום
2021-10-01,28,Center District,חירום
2021-11-01,25,Center District,חירום
2021-12-01,27,Center District,חירום
2022-01-01,28,Center District,חירום
2022-02-01,26,Center District,חירום
2022-03-01,27,Center District,חירום
2022-04-01,26,Center District,חירום
2022-05-01,30,Center District,חירום
2022-06-01,29,Center District,חירום
2022-07-01,28,Center District,חירום
2022-08-01,27,Center District,חירום
2022-09-01,29,Center District,חירום
2022-10-01,30,Center District,חירום
2022-11-01,25,Center District,חירום
2022-12-01,28,Center District,חירום
2014-01-01,69,Center District,בתי חולים
2014-02-01,0,Center District,בתי חולים
2014-03-01,79,Center District,בתי חולים
2014-04-01,0,Center District,בתי חולים
2014-05-01,0,Center District,בתי חולים
2014-06-01,0,Center District,בתי חולים
2014-07-01,0,Center District,בתי חולים
2014-08-01,0,Center District,בתי חולים
2014-09-01,0,Center District,בתי חולים
2014-10-01,0,Center District,בתי חולים
2014-11-01,0,Center District,בתי חולים
2014-12-01,80,Center District,בתי חולים
2015-01-01,81,Center District,בתי חולים
2015-02-01,0,Center District,בתי חולים
2015-03-01,0,Center District,בתי חולים
2015-04-01,0,Center District,בתי חולים
2015-05-01,0,Center District,בתי חולים
2015-06-01,0,Center District,בתי חולים
2015-07-01,0,Center District,בתי חולים
2015-08-01,58,Center District,בתי חולים
2015-09-01,0,Center District,בתי חולים
2015-10-01,0,Center District,בתי חולים
2015-11-01,0,Center District,בתי חולים
2015-12-01,61,Center District,בתי חולים
2016-01-01,48,Center District,בתי חולים
2016-02-01,52,Center District,בתי חולים
2016-03-01,57,Center District,בתי חולים
2016-04-01,32,Center District,בתי חולים
2016-05-01,51,Center District,בתי חולים
2016-06-01,75,Center District,בתי חולים
2016-07-01,64,Center District,בתי חולים
2016-08-01,62,Center District,בתי חולים
2016-09-01,41,Center District,בתי חולים
2016-10-01,57,Center District,בתי חולים
2016-11-01,40,Center District,בתי חולים
2016-12-01,50,Center District,בתי חולים
2017-01-01,73,Center District,בתי חולים
2017-02-01,61,Center District,בתי חולים
2017-03-01,58,Center District,בתי חולים
2017-04-01,61,Center District,בתי חולים
2017-05-01,61,Center District,בתי חולים
2017-06-01,67,Center District,בתי חולים
2017-07-01,60,Center District,בתי חולים
2017-08-01,58,Center District,בתי חולים
2017-09-01,59,Center District,בתי חולים
2017-10-01,48,Center District,בתי חולים
2017-11-01,60,Center District,בתי חולים
2017-12-01,52,Center District,בתי חולים
2018-01-01,66,Center District,בתי חולים
2018-02-01,48,Center District,בתי חולים
2018-03-01,54,Center District,בתי חולים
2018-04-01,49,Center District,בתי חולים
2018-05-01,44,Center District,בתי חולים
2018-06-01,62,Center District,בתי חולים
2018-07-01,50,Center District,בתי חולים
2018-08-01,62,Center District,בתי חולים
2018-09-01,46,Center District,בתי חולים
2018-10-01,31,Center District,בתי חולים
2018-11-01,52,Center District,בתי חולים
2018-12-01,59,Center District,בתי חולים
2019-01-01,83,Center District,בתי חולים
2019-02-01,46,Center District,בתי חולים
2019-03-01,65,Center District,בתי חולים
2019-04-01,56,Center District,בתי חולים
2019-05-01,55,Center District,בתי חולים
2019-06-01,46,Center District,בתי חולים
2019-07-01,63,Center District,בתי חולים
2019-08-01,59,Center District,בתי חולים
2019-09-01,54,Center District,בתי חולים
2019-10-01,30,Center District,בתי חולים
2019-11-01,61,Center District,בתי חולים
2019-12-01,65,Center District,בתי חולים
2020-01-01,60,Center District,בתי חולים
2020-02-01,75,Center District,בתי חולים
2020-03-01,100,Center District,בתי חולים
2020-04-01,95,Center District,בתי חולים
2020-05-01,61,Center District,בתי חולים
2020-06-01,60,Center District,בתי חולים
2020-07-01,82,Center District,בתי חולים
2020-08-01,51,Center District,בתי חולים
2020-09-01,83,Center District,בתי חולים
2020-10-01,60,Center District,בתי חולים
2020-11-01,55,Center District,בתי חולים
2020-12-01,70,Center District,בתי חולים
2021-01-01,97,Center District,בתי חולים
2021-02-01,73,Center District,בתי חולים
2021-03-01,67,Center District,בתי חולים
2021-04-01,72,Center District,בתי חולים
2021-05-01,68,Center District,בתי חולים
2021-06-01,55,Center District,בתי חולים
2021-07-01,63,Center District,בתי חולים
2021-08-01,94,Center District,בתי חולים
2021-09-01,42,Center District,בתי חולים
2021-10-01,59,Center District,בתי חולים
2021-11-01,70,Center District,בתי חולים
2021-12-01,48,Center District,בתי חולים
2022-01-01,57,Center District,בתי חולים
2022-02-01,65,Center District,בתי חולים
2022-03-01,64,Center District,בתי חולים
2022-04-01,58,Center District,בתי חולים
2022-05-01,60,Center District,בתי חולים
2022-06-01,55,Center District,בתי חולים
2022-07-01,69,Center District,בתי חולים
2022-08-01,67,Center District,בתי חולים
2022-09-01,68,Center District,בתי חולים
2022-10-01,49,Center District,בתי חולים
2022-11-01,51,Center District,בתי חולים
2022-12-01,51,Center District,בתי חולים
2014-01-01,5,Center District,אזעקה
2014-02-01,11,Center District,אזעקה
2014-03-01,9,Center District,אזעקה
2014-04-01,5,Center District,אזעקה
2014-05-01,5,Center District,אזעקה
2014-06-01,0,Center District,אזעקה
2014-07-01,100,Center District,אזעקה
2014-08-01,26,Center District,אזעקה
2014-09-01,12,Center District,אזעקה
2014-10-01,7,Center District,אזעקה
2014-11-01,5,Center District,אזעקה
2014-12-01,5,Center District,אזעקה
2015-01-01,4,Center District,אזעקה
2015-02-01,6,Center District,אזעקה
2015-03-01,6,Center District,אזעקה
2015-04-01,8,Center District,אזעקה
2015-05-01,10,Center District,אזעקה
2015-06-01,9,Center District,אזעקה
2015-07-01,8,Center District,אזעקה
2015-08-01,6,Center District,אזעקה
2015-09-01,5,Center District,אזעקה
2015-10-01,8,Center District,אזעקה
2015-11-01,7,Center District,אזעקה
2015-12-01,6,Center District,אזעקה
2016-01-01,4,Center District,אזעקה
2016-02-01,9,Center District,אזעקה
2016-03-01,7,Center District,אזעקה
2016-04-01,4,Center District,אזעקה
2016-05-01,4,Center District,אזעקה
2016-06-01,6,Center District,אזעקה
2016-07-01,6,Center District,אזעקה
2016-08-01,5,Center District,אזעקה
2016-09-01,11,Center District,אזעקה
2016-10-01,6,Center District,אזעקה
2016-11-01,6,Center District,אזעקה
2016-12-01,6,Center District,אזעקה
2017-01-01,7,Center District,אזעקה
2017-02-01,8,Center District,אזעקה
2017-03-01,4,Center District,אזעקה
2017-04-01,4,Center District,אזעקה
2017-05-01,5,Center District,אזעקה
2017-06-01,4,Center District,אזעקה
2017-07-01,5,Center District,אזעקה
2017-08-01,9,Center District,אזעקה
2017-09-01,5,Center District,אזעקה
