"X","SEMEL_YISHUV","SHEM_YISHUV","SHEM_YISHUV_ENGLISH","Religion_yishuv_Code","Religion_yishuv_Txt","Pop_Total","Male_Total","Female_Total","age_0_14","age_15_19","age_20_29","age_30_64","age_65_up","year","Shape_Area","density","age_65_up_percentage","sci_index_value","sci_index_cluster","ntl","within_west_bank","intersecting_west_bank","centroid_within_west_bank"
129,22,"מקווה ישראל","MIQWE YISRA'EL",1,"יהודי",380,220,160,30,200,40,100,20,2015,0.489989461074992,775.526884121782,0.0526315789473684,NA,NA,63,0,0,0
130,22,"מקווה ישראל","MIQWE YISRA'EL",1,"יהודי",376,211,148,61,164,26,102,0,2020,0.489989461074992,767.363443236289,0,NA,NA,NA,0,0,0
131,22,"מקווה ישראל","MIQWE YISRA'EL",1,"יהודי",389,225,164,43,199,32,95,0,2019,0.489989461074992,793.89462611414,0,NA,NA,NA,0,0,0
132,22,"מקווה ישראל","MIQWE YISRA'EL",1,"יהודי",390,240,150,50,190,50,100,10,2012,0.489989461074992,795.935486335513,0.0256410256410256,NA,NA,NA,0,0,0
133,22,"מקווה ישראל","MIQWE YISRA'EL",1,NA,394,NA,NA,NA,NA,NA,NA,NA,2009,0.489989461074992,804.098927221005,NA,NA,NA,59,0,0,0
134,22,"מקווה ישראל","MIQWE YISRA'EL",1,"יהודי",386,228,157,55,183,33,96,18,2018,0.489989461074992,787.77204545002,0.0466321243523316,NA,NA,NA,0,0,0
135,22,"מקווה ישראל","MIQWE YISRA'EL",1,"יהודי",300,0,0,0,0,0,0,0,2008,0.489989461074992,612.258066411933,0,NA,NA,NA,0,0,0
136,22,"מקווה ישראל","MIQWE YISRA'EL",1,"יהודי",432,240,191,54,203,36,116,24,2017,0.489989461074992,881.651615633183,0.0555555555555556,NA,NA,NA,0,0,0
137,22,"מקווה ישראל","MIQWE YISRA'EL",1,"יהודי",378,216,162,51,171,28,105,0,2021,0.489989461074992,771.445163679036,0,NA,NA,NA,0,0,0
138,22,"מקווה ישראל","MIQWE YISRA'EL",1,NA,745,NA,NA,NA,NA,NA,NA,NA,2006,0.489989461074992,1520.44086492297,NA,NA,NA,61,0,0,0
139,22,"מקווה ישראל","MIQWE YISRA'EL",1,"יהודי",370,220,150,40,190,40,90,10,2014,0.489989461074992,755.118281908051,0.027027027027027,NA,NA,NA,0,0,0
140,22,"מקווה ישראל","MIQWE YISRA'EL",1,"יהודי",421,217,204,68,173,37,120,0,2022,0.489989461074992,859.202153198079,0,NA,NA,NA,0,0,0
141,23,"אמציה","AMAZYA",1,"יהודי",203,110,93,67,8,28,77,0,2022,0.286880163758567,707.612535284389,0,0.092,5,NA,0,0,0
142,23,"אמציה","AMAZYA",1,"יהודי",227,124,101,72,10,42,80,0,2020,0.286880163758567,791.271160145597,0,0.092,5,NA,0,0,0
143,23,"אמציה","AMAZYA",1,"יהודי",570,300,270,260,20,60,210,20,2016,0.286880163758567,1986.8923404537,0.0350877192982456,0.092,5,NA,0,0,0
144,23,"אמציה","AMAZYA",1,"יהודי",570,300,270,270,20,60,200,20,2015,0.286880163758567,1986.8923404537,0.0350877192982456,0.092,5,37.25,0,0,0
145,23,"אמציה","AMAZYA",1,"יהודי",540,280,260,250,30,60,180,10,2012,0.286880163758567,1882.31905937719,0.0185185185185185,0.092,5,NA,0,0,0
146,23,"אמציה","AMAZYA",1,"יהודי",540,280,260,250,20,60,190,20,2014,0.286880163758567,1882.31905937719,0.037037037037037,0.092,5,NA,0,0,0
147,23,"אמציה","AMAZYA",1,NA,456,NA,NA,NA,NA,NA,NA,NA,2009,0.286880163758567,1589.51387236296,NA,0.092,5,19,0,0,0
148,23,"אמציה","AMAZYA",1,"יהודי",263,146,118,91,14,45,94,0,2019,0.286880163758567,916.75909743741,0,0.092,5,NA,0,0,0
149,23,"אמציה","AMAZYA",1,"יהודי",540,280,270,260,20,60,190,10,2013,0.286880163758567,1882.31905937719,0.0185185185185185,0.092,5,28,0,0,0
150,23,"אמציה","AMAZYA",1,"יהודי",500,0.3,0.2,0.2,0,0,0.2,0,2011,0.286880163758567,1742.88801794184,0,0.092,5,NA,0,0,0
151,23,"אמציה","AMAZYA",1,"יהודי",219,122,97,76,8,36,79,0,2021,0.286880163758567,763.384951858528,0,0.092,5,NA,0,0,0
152,23,"אמציה","AMAZYA",1,"יהודי",465,254,211,210,12,59,165,22,2017,0.286880163758567,1620.88585668591,0.0473118279569892,0.092,5,NA,0,0,0
153,23,"אמציה","AMAZYA",1,NA,329,NA,NA,NA,NA,NA,NA,NA,2006,0.286880163758567,1146.82031580573,NA,0.092,5,19.75,0,0,0
154,23,"אמציה","AMAZYA",1,"יהודי",353,195,158,136,25,51,121,19,2018,0.286880163758567,1230.47894066694,0.0538243626062323,0.092,5,NA,0,0,0
155,23,"אמציה","AMAZYA",1,"יהודי",500,0,0,0,0,0,0,0,2008,0.286880163758567,1742.88801794184,0,0.092,5,NA,0,0,0
156,24,"לכיש","LAKHISH",1,"יהודי",710,350,350,230,60,40,270,100,2012,1.02732294887687,691.116654968344,0.140845070422535,1.783,9,NA,0,0,0
157,24,"לכיש","LAKHISH",1,"יהודי",791,411,381,179,79,123,323,87,2020,1.02732294887687,769.962357859099,0.109987357774968,1.783,9,NA,0,0,0
158,24,"לכיש","LAKHISH",1,"יהודי",800,418,382,180,75,136,321,89,2021,1.02732294887687,778.722991513627,0.11125,1.783,9,NA,0,0,0
159,24,"לכיש","LAKHISH",1,"יהודי",700,0.3,0.3,0.2,0.1,0,0.3,0.1,2011,1.02732294887687,681.382617574424,0.000142857142857143,1.783,9,NA,0,0,0
160,24,"לכיש","LAKHISH",1,"יהודי",769,398,371,178,79,116,305,90,2019,1.02732294887687,748.547475592474,0.11703511053316,1.783,9,NA,0,0,0
161,24,"לכיש","LAKHISH",1,"יהודי",710,350,360,200,70,80,270,90,2015,1.02732294887687,691.116654968344,0.126760563380282,1.783,9,26.5,0,0,0
162,24,"לכיש","LAKHISH",1,"יהודי",744,379,365,179,87,95,295,89,2018,1.02732294887687,724.212382107674,0.119623655913978,1.783,9,NA,0,0,0
